	ABratio	cleanReads	mpRatio	nGene	nUMI	mitoRatio	ERCCratio	avgCor	doublet	filter
WD_C-C2_76	0.991212908725903	1599713	0.9011	4064	14291	0.0333076761598209	0.065336542394482	0.363501349524158	FALSE	TRUE
WD_C-C2_77	0.988883972289725	2352292	0.8956	4234	16011	0.027231278496034	0.0585533016621277	0.355958139588006	FALSE	TRUE
WD_C-C2_78	0.978891842171235	1467961	0.9003	3488	14779	0.053386562013668	0.0642242432596696	0.342317193605448	FALSE	TRUE
WD_C-C2_79	0.976558987102118	1924659	0.8941	3635	11395	0.027906976744186	0.0615126907727686	0.354429253993	FALSE	TRUE
WD_C-C2_80	0.988597672951484	1858948	0.9008	4114	15954	0.0396765701391501	0.0661701866389485	0.368045624166561	FALSE	TRUE
WD_C-C2_81	0.988783654523532	1544489	0.8688	2389	10255	0.111360312042906	0.0788488950869244	0.258534563482684	FALSE	TRUE
WD_C-C2_82	0.992066806389553	3354289	0.9008	5734	39755	0.0220852722927934	0.0354057957181141	0.390263965334648	FALSE	TRUE
WD_C-C2_83	0.980255986604082	1130612	0.862	3246	9360	0.0239316239316239	0.0572666941860096	0.332228910084415	FALSE	TRUE
WD_C-C2_84	0.977460321622757	1576683	0.907	3707	12744	0.0357030759573132	0.0815254675465164	0.345457271750989	FALSE	TRUE
WD_C-C2_85	0.990185912612723	2129129	0.908	5073	22027	0.0394061833204703	0.0444666130225505	0.377551876099248	FALSE	TRUE
WD_C-C2_86	0.973647249248675	1336137	0.896	3433	13336	0.0482903419316137	0.0872861306241332	0.338228147235291	FALSE	TRUE
WD_C-C2_87	0.965650689040932	1953547	0.8907	4330	20470	0.0244259892525647	0.0724450810705169	0.366794334191692	FALSE	TRUE
WD_C-C2_88	0.950593386698665	1003981	0.8828	2260	5148	0.061965811965812	0.121432163377816	0.285307691714684	FALSE	TRUE
WD_C-C2_89	0.992234170516129	2281652	0.8997	4483	20771	0.0226758461316258	0.0553776602919652	0.377881383404724	FALSE	TRUE
WD_C-C2_90	0.990441741136497	3484220	0.9012	5620	26634	0.0266952016219869	0.0333361282621441	0.380070763062603	FALSE	TRUE
WD_C-C2_91	0.957451611664345	1139976	0.8858	3978	16646	0.0461372101405743	0.0667179424261201	0.365550092516463	FALSE	TRUE
WD_C-C2_92	0.988223411234319	2618038	0.899	4877	26330	0.0151158374477782	0.0542769595435362	0.365680082785994	FALSE	TRUE
WD_C-C2_93	0.991888529939957	2674432	0.905	5979	46365	0.0154426830583414	0.0394743441841802	0.382633845531398	FALSE	TRUE
WD_C-C2_94	0.973187881167708	1519960	0.8883	3510	13576	0.0627578078962876	0.063064908364211	0.347305246659899	FALSE	TRUE
WD_C-C2_95	0.990512899714926	1757841	0.8937	3990	25090	0.0261458748505381	0.0624306948991446	0.347045115231835	FALSE	TRUE
WD_C-C2_96	0.951987544421422	1717038	0.8904	3923	18584	0.0310482135170039	0.0786926975829764	0.360529386831793	FALSE	TRUE
WD_C-C3_01	0.988326352464936	2879764	0.8917	4654	13981	0.0282526285673414	0.0185861708210065	0.311512905959663	FALSE	TRUE
WD_C-C3_02	0.988202808337514	1226672	0.8882	3152	8455	0.0290952099349497	0.0623410514959915	0.332700972732534	FALSE	TRUE
WD_C-C3_03	0.989742229015542	1384569	0.9014	4271	19386	0.0311049210770659	0.0537984696752756	0.369301523577936	FALSE	TRUE
WD_C-C3_04	0.945927151820498	1298530	0.8483	2693	8071	0.055879073225127	0.0575363618580151	0.299512280301595	FALSE	TRUE
WD_C-C3_05	0.987608428052091	759333	0.8921	2581	6851	0.0462706174281127	0.129929125389535	0.324068369345485	FALSE	TRUE
WD_C-C3_06	0.992072225069421	1328553	0.903	4815	17452	0.0280197112078845	0.053927894301048	0.373573998826001	FALSE	TRUE
WD_C-C3_07	0.991057089610374	1457470	0.9026	3523	12850	0.0308171206225681	0.0706092974109377	0.327105589042715	FALSE	TRUE
WD_C-C3_08	0.990843343559894	2080469	0.9077	4529	14925	0.0436850921273032	0.0487772139609852	0.36764596177133	FALSE	TRUE
WD_C-C3_09	0.991823171174293	1864258	0.8962	4258	19261	0.0155235969056643	0.0605564140083773	0.357912526258506	FALSE	TRUE
WD_C-C3_10	0.987624759407515	1952805	0.8982	4899	19988	0.0384230538322994	0.0490854311049203	0.361698054695598	FALSE	TRUE
WD_C-C3_11	0.988975874461242	1250591	0.8943	3569	13211	0.0331541896904095	0.0918188421554249	0.340982075312152	FALSE	TRUE
WD_C-C3_12	0.965004666125631	880412	0.9024	2822	8203	0.0331586005120078	0.0744004977612435	0.313132357622589	FALSE	TRUE
WD_C-C3_13	0.988998815355553	1026760	0.9051	3298	12027	0.0486405587428286	0.0954597182435349	0.34683405858437	FALSE	TRUE
WD_C-C3_14	0.981510195854545	968007	0.8901	2976	9364	0.0595899188381034	0.08637089344543	0.329068489818849	FALSE	TRUE
WD_C-C3_15	0.977393987054625	1279266	0.5575	2306	5011	0.0313310716423867	0.127209440358943	0.301096677237062	FALSE	FALSE
WD_C-C3_16	0.985451897739024	1524602	0.905	3458	11404	0.0643633812697299	0.0870544932761381	0.339085398458902	FALSE	TRUE
WD_C-C3_17	0.991190602899603	1436957	0.8987	3579	10386	0.0291738879260543	0.0794419242018614	0.350640407589296	FALSE	TRUE
WD_C-C3_18	0.987105162048985	1406893	0.8952	3875	16492	0.0564516129032258	0.0680646118723359	0.336078094563404	FALSE	TRUE
WD_C-C3_19	0.989057727824438	2370981	0.8966	4470	18121	0.0387947685006346	0.0494626433560298	0.356958963672042	FALSE	TRUE
WD_C-C3_20	0.951554707788477	1521416	0.9011	4517	15247	0.050567324719617	0.0357152886298969	0.351756935644612	FALSE	TRUE
