	ABratio	cleanReads	mpRatio	nGene	nUMI	mitoRatio	ERCCratio	avgCor	doublet	filter
SEZC-8_96	0.983739299620731	2678173	0.2602	3007	13076	0.0521566228204344	0.094797940600986	0.332841361151443	FALSE	FALSE
SEZC-9_01	0.961815932521087	1459749	0.8991	3334	10042	0.0656243776140211	0.114191181680921	0.338000370656437	FALSE	TRUE
SEZC-9_02	0.984629754749915	6819176	0.9132	6230	54713	0.0666020872553141	0.0359487681096334	0.359916509954931	FALSE	TRUE
SEZC-9_03	0.981004242569697	1163668	0.9092	3664	13210	0.03111279333838	0.0636387693582162	0.355174402494038	FALSE	TRUE
SEZC-9_05	0.985846059070948	2236403	0.9087	3881	17080	0.0206088992974239	0.0416608823611073	0.361419423076307	FALSE	TRUE
SEZC-9_06	0.98665281341155	2424723	0.9107	3982	17605	0.0236864527122976	0.078271161518992	0.361692975024654	FALSE	TRUE
SEZC-9_07	0.98867514672611	3445306	0.9154	4094	15996	0.0429482370592648	0.0879651626163851	0.344784749790019	FALSE	TRUE
SEZC-9_08	0.98327671858217	1668142	0.9117	3532	14625	0.0343247863247863	0.0569502366191439	0.347615036196293	FALSE	TRUE
SEZC-9_09	0.850889520009696	296774	0.8504	351	465	0.0236559139784946	0.99205909815814	0.196159582239542	FALSE	FALSE
SEZC-9_10	0.951667421533015	1766444	0.8795	2904	11138	0.0919375112228407	0.120215512642697	0.318352124220289	FALSE	TRUE
SEZC-9_11	0.968136609005945	667578	0.9038	2380	7132	0.0545429052159282	0.12552029928036	0.318199003689315	FALSE	TRUE
SEZC-9_13	0.921679890333569	131957	0.7024	401	547	0.020109689213894	0.988450625424609	0.201541896835774	FALSE	FALSE
SEZC-9_14	0.985360356049615	3496190	0.8991	4316	27093	0.0596464031299598	0.0403215045126894	0.323932625893439	FALSE	TRUE
SEZC-9_15	0.987770706804239	2264554	0.9049	3792	16419	0.0379438455447957	0.0715178047302861	0.348172349823701	FALSE	TRUE
SEZC-9_16	0.978625798967524	1200055	0.9051	3105	12549	0.0568172762769942	0.0807025973096303	0.327458373932103	FALSE	TRUE
SEZC-9_17	0.974080302231445	2615950	0.914	4551	19418	0.0334740961994026	0.104888144874048	0.370438048183273	FALSE	TRUE
SEZC-9_18	0.952232060221646	2196976	0.895	3795	14606	0.031973161714364	0.0619237185469274	0.35301553778455	FALSE	TRUE
SEZC-9_19	0.903092152260435	105007	0.7778	376	488	0.0163934426229508	0.97296456890148	0.197835072429023	FALSE	FALSE
SEZC-9_21	0.98015296020507	1752928	0.9138	3241	11840	0.0380067567567568	0.106918891422099	0.340666590027912	FALSE	TRUE
SEZC-9_22	0.91776070175026	191287	0.7906	642	908	0.0275330396475771	0.956786104238247	0.234438893989758	FALSE	FALSE
SEZC-9_23	0.98416946971855	2913220	0.9097	4234	16833	0.0258420958830868	0.0508842524970965	0.358025936002913	FALSE	TRUE
SEZC-9_24	0.989316929086199	2211739	0.9119	4114	19064	0.0549727234578263	0.0580174836905645	0.352206882786289	FALSE	TRUE
SEZC-9_25	0.960349299423662	1900476	0.899	3780	16501	0.0280589055208775	0.0819030305780389	0.364677097385323	FALSE	TRUE
SEZC-9_26	0.955210696224345	2184389	0.9091	3461	14338	0.0334077277165574	0.0990962698874692	0.354232857067727	FALSE	TRUE
SEZC-9_27	0.982790090479712	1115779	0.9062	3210	11963	0.0276686449887152	0.0576690997161905	0.345218771967396	FALSE	TRUE
SEZC-9_29	0.975350078494367	2405633	0.9018	3108	15194	0.0394892720810846	0.0469247841322428	0.308843941437553	FALSE	TRUE
