orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max	tSNE_1	tSNE_2	EPCAM	VIM	PTPRC	HBG1
WT_2_1-8	WT	125577	43292	45197.6935630837	15687	atac	Fibro-FBLN1	0.83318067469323	9.09807252863673	15.3673665817991	0.360274327357779	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_2_2-1	WT	123274	44522	46196.147435606	15722	atac	Fibro-NRK	0.229420094761047	8.95877599417499	18.0991692650689	0.334846808717814	-0.077642833271368	-0.115666004720209	-0.092707651815819
WT_2_2-2	WT	77326	33021	34809.2414630299	14039	atac	Fibro-VSTM2A	0.528019612386401	10.1286265502603	24.9984111915785	-0.0748968536957836	1.53013228511561	-0.115666004720209	-0.092707651815819
WT_2_2-3	WT	153390	56242	58314.9262149001	16880	atac	Epi	0.904457672636687	38.9446713384108	5.68748750735004	0.546323824615566	-0.529655756356473	-0.115666004720209	-0.092707651815819
WT_2_2-4	WT	98335	38509	39294.1975777516	14939	atac	T	0.865251131278788	6.71860342257663	-32.6226510722502	-0.173523265319288	0.887751282443512	-0.115666004720209	-0.092707651815819
WT_2_2-6	WT	111318	40358	42495.1677657825	15141	atac	Fibro-FBLN1	0.65733567099667	9.54252813215507	15.6504876258122	0.434126982413412	0.386487575825408	-0.115666004720209	-0.092707651815819
WT_2_2-7	WT	130715	46234	48709.5571319854	15955	atac	Fibro-FBLN1	0.610525122793071	10.8028830079954	16.8037212677972	1.46182093580923	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_2_2-8	WT	154336	54463	56985.0720349614	16877	atac	Epi	0.854923758545027	37.5584804362583	5.95375104836332	-1.04018241792797	-0.296802725378821	-0.115666004720209	-0.092707651815819
WT_2_3-1	WT	133449	47377	49040.132790339	15792	atac	Fibro-FBLN1	0.652597554745944	9.9057599241178	19.0724170326869	-0.330820668463151	-0.198640424660694	-0.115666004720209	-0.092707651815819
WT_2_3-2	WT	109086	40585	42755.4287412911	15196	atac	Erythrocyte	0.385945846204909	3.12237571637526	17.1400491004744	-0.236819021017568	0.379422833375067	-0.115666004720209	-0.092707651815819
WT_2_3-3	WT	87629	33106	34979.4479857684	13947	atac	Fibro-KCNJ8	0.380078072365715	4.6746889953409	21.5954737637511	1.65291541383503	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_2_3-4	WT	152970	52916	55885.4013372527	16606	atac	Epi	0.932608500680851	38.7575912065299	5.29050433147538	1.21683717856713	0.160911327713154	-0.115666004720209	-0.092707651815819
WT_2_3-5	WT	53540	23502	24632.125050291	12020	atac	Glial	0.521405386053289	-1.92161414892415	24.3929923302674	0.262237235990477	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_2_3-6	WT	128973	45496	48128.0381017732	15767	atac	Fibro-IRF1	0.33277566885032	4.36150504033417	21.3492838776637	0.560059923776513	-0.44447983353333	-0.115666004720209	-0.092707651815819
WT_2_3-7	WT	72399	31448	33564.8543997455	13689	atac	SM-Visceral	0.339848334351466	-3.90775942335165	19.890059233115	-0.0434010325165135	0.212757540018607	-0.115666004720209	-0.092707651815819
WT_2_3-8	WT	71174	29282	31072.4099384324	13646	atac	Fibro-ADAM28	0.228643854571382	-0.138623430177328	23.6728716806198	1.88854236254257	0.294498256835385	-0.115666004720209	-0.092707651815819
WT_2_4-1	WT	81517	32919	34081.2632461705	14059	atac	Fibro-NRK	0.600345404010042	12.2061044072148	21.0834060788586	-1.04018241792797	0.0970509067551708	-0.115666004720209	-0.092707651815819
WT_2_4-2	WT	135239	48200	50099.4161952878	16000	atac	Fibro-NRK	0.435503528913686	8.90208903406707	20.1765305164403	-0.344534261748292	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_2_4-3	WT	80311	33393	34261.4010407442	14012	atac	Fibro-ADAM28	0.258519643682513	7.24582737542394	23.0194045261686	-0.521600772869728	0.0921160180411706	-0.115666004720209	-0.092707651815819
WT_2_4-4	WT	69351	29472	30809.552867499	13474	atac	Fibro-KCNJ8	0.607238870837684	7.06062350557391	24.1948581718991	2.90982607838473	0.303794885051857	-0.115666004720209	-0.092707651815819
WT_2_4-5	WT	101570	36379	38612.8691570268	14645	atac	Fibro-VSTM2A	0.575872641714239	6.55504391265753	22.7585713339253	-0.576645695212334	-0.955535269851143	-0.115666004720209	-0.092707651815819
WT_2_4-6	WT	128550	44711	47476.2071385341	15689	atac	Epi	0.735797452240175	36.610364586133	4.15002705852659	1.92985672576634	-0.175758282822763	-0.115666004720209	-0.092707651815819
WT_2_4-7	WT	71439	28270	29831.8877797342	13089	atac	Fibro-Prol	0.313557503444308	-16.4678307866133	18.8192778106872	1.97268351847324	-0.955535269851143	-0.115666004720209	-0.092707651815819
