RNA_cell	ATAC_cell	score
WDOU_C-B6_02	WT_14_1-5	1
WT_C-D11_23	WT_14_1-5	1
WD_C-C3_18	WT_14_1-5	0.973089343379978
WT_C-D10_63	WT_14_2-2	0.085037674919268
WD_C-B4_07	WT_14_2-2	0.246501614639397
WT_C-B6_73	WT_14_2-2	0.273412271259419
WT_C-C10_57	WT_14_2-3	0.0581270182992465
WDOU_C-B6_95	WT_14_2-6	0.381054897739505
WDOU_C-D6_48	WT_14_2-6	0.354144241119483
WT_C-C7_10	WT_14_2-6	0.354144241119483
WT_C-D4_08	WT_14_3-3	0.703982777179763
WDOU_C-C2_91	WT_14_3-4	0.381054897739505
WDOU_C-D2_53	WT_14_3-4	0.488697524219591
WDOU_C-D6_19	WT_14_3-4	0.461786867599569
WDOU_C-B4_58	WT_14_4-1	0.434876210979548
WDOU_C-C9_58	WT_14_4-1	0.515608180839613
WT_C-C5_23	WT_14_4-1	0.542518837459634
WT_C-C9_64	WT_14_4-1	0.461786867599569
WT_C-D3_45	WT_14_4-1	0.381054897739505
WD_C-B4_73	WT_14_4-8	0.219590958019376
WDOU_C-C9_86	WT_14_5-2	0.192680301399354
WDOU_C-D6_78	WT_14_5-2	0.327233584499462
WT_C-C11_86	WT_14_5-2	0.381054897739505
WD_C-B6_81	WT_14_5-2	0.165769644779333
WDOU_C-B5_71	WT_14_6-3	0.031216361679225
WD_C-B7_85	WT_14_6-4	0.246501614639397
WDOU_C-B1_06	WT_14_6-5	0.30032292787944
WDOU_C-B1_67	WT_14_7-1	0.138858988159311
WDOU_C-C3_52	WT_14_7-2	0.165769644779333
WD_C-B1_49	WT_14_7-8	1
WDOU_C-B8_45	WT_14_8-5	0.65016146393972
WDOU_C-C8_11	WT_14_8-5	0.515608180839613
WDOU_C-D3_08	WT_14_8-5	0.515608180839613
WD_C-B4_05	WT_14_8-6	0.138858988159311
WDOU_C-D6_01	WT_14_9-4	0.192680301399354
WT_C-D12_79	WT_14_9-4	0.031216361679225
WDOU_C-B4_07	WT_14_9-8	0.407965554359526
WDOU_C-C9_67	WT_14_9-8	0.730893433799785
WT_C-C4_68	WT_14_9-8	0.165769644779333
WDOU_C-D3_35	WT_14_10-8	0.542518837459634
WD_C-B3_26	WT_14_11-2	0.0581270182992465
WD_C-B3_53	WT_14_11-2	0.11194833153929
WD_C-B3_72	WT_14_11-2	0.085037674919268
WD_C-B5_80	WT_14_11-2	0.0581270182992465
WT_C-B5_19	WT_14_12-1	0.165769644779333
WT_C-C11_80	WT_14_12-6	0.165769644779333
WD_C-B5_68	WT_14_12-6	0.11194833153929
WD_C-B10_38	WT_15_2-4	0.784714747039828
